"Časová pečiatka","Ktorý výstup vyzerá najprirodzenejšie a najmenej „umelý“ vo svojom prejave?","Ktorý výstup obsahuje najmenej gramatických chýb alebo nezmyselných fráz?","Ktorý z výstupov preukazuje najlepšiu schopnosť porozumieť kontextu a uviesť relevantné informácie?","Ktorý výstup zdôrazňuje najlepšie možnosti riešenia problémov alebo poskytuje najpresnejšie informácie?","Ktorý výstup vzbudzuje najväčšiu dôveru voči svojmu obsahu a prezentácii informácií?","Ktorý výstup je najlepšie štrukturovaný a organizovaný, čo uľahčuje pochopenie informácií?","Ktorý z výstupov vyzerá najviac ako autentický prejav ľudského rečníka?","Ktorý výstup vyzerá najprirodzenejšie a najmenej „umelý“ vo svojom prejave?","Ktorý výstup obsahuje najmenej gramatických chýb alebo nezmyselných fráz?","Ktorý z výstupov preukazuje najlepšiu schopnosť porozumieť kontextu a uviesť relevantné informácie?","Ktorý výstup zdôrazňuje najlepšie možnosti riešenia problémov alebo poskytuje najpresnejšie informácie?","Ktorý výstup vzbudzuje najväčšiu dôveru voči svojmu obsahu a prezentácii informácií?","Ktorý výstup je najlepšie štrukturovaný a organizovaný, čo uľahčuje pochopenie informácií?","Ktorý z výstupov vyzerá najviac ako autentický prejav ľudského rečníka?"
"2024/02/29 9:18:06 AM SEČ","Výstup 3","Výstup 3","Výstup 2","Výstup 2","Výstup 2","Výstup 3","Výstup 3","Výstup 3","Výstup 2","Výstup 2","Výstup 1","Výstup 1","Výstup 3","Výstup 3"
"2024/02/29 9:18:12 AM SEČ","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 2","Výstup 3","Výstup 2","Výstup 2","Výstup 3","Výstup 3","Výstup 3"
"2024/02/29 9:18:42 AM SEČ","Výstup 2","Výstup 2","Výstup 2","Výstup 1","Výstup 1","Výstup 2","Výstup 2","Výstup 1","Výstup 1","Výstup 1","Výstup 3","Výstup 2","Výstup 1","Výstup 1"
"2024/02/29 9:20:50 AM SEČ","Výstup 3","Výstup 3","Výstup 2","Výstup 1","Výstup 2","Výstup 2","Výstup 3","Výstup 2","Výstup 1","Výstup 2","Výstup 1","Výstup 3","Výstup 2","Výstup 3"
"2024/02/29 9:20:57 AM SEČ","Výstup 1","Výstup 1","Výstup 1","Výstup 2","Výstup 3","Výstup 2","Výstup 3","Výstup 1","Výstup 3","Výstup 1","Výstup 2","Výstup 3","Výstup 2","Výstup 3"
"2024/02/29 9:21:11 AM SEČ","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 2","Výstup 2","Výstup 2","Výstup 1","Výstup 2","Výstup 2","Výstup 2"
"2024/02/29 9:21:20 AM SEČ","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 3","Výstup 1","Výstup 1","Výstup 1","Výstup 1"
"2024/02/29 9:21:40 AM SEČ","Výstup 3","Výstup 3","Výstup 3","Výstup 2","Výstup 2","Výstup 3","Výstup 2","Výstup 2","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 2"
"2024/02/29 9:21:53 AM SEČ","Výstup 3","Výstup 3","Výstup 2","Výstup 2","Výstup 3","Výstup 3","Výstup 3","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2"
"2024/02/29 9:22:04 AM SEČ","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1"
"2024/02/29 9:22:06 AM SEČ","Výstup 3","Výstup 1","Výstup 1","Výstup 1","Výstup 2","Výstup 2","Výstup 3","Výstup 3","Výstup 1","Výstup 3","Výstup 1","Výstup 1","Výstup 3","Výstup 1"
"2024/02/29 9:22:10 AM SEČ","Výstup 1","Výstup 3","Výstup 1","Výstup 1","Výstup 3","Výstup 1","Výstup 1","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2"
"2024/02/29 9:23:00 AM SEČ","Výstup 2","Výstup 2","Výstup 3","Výstup 3","Výstup 2","Výstup 1","Výstup 2","Výstup 1","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 1"
"2024/02/29 9:23:01 AM SEČ","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1"
"2024/02/29 9:23:05 AM SEČ","Výstup 3","Výstup 3","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 3","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 3"
"2024/02/29 9:23:13 AM SEČ","Výstup 2","Výstup 2","Výstup 2","Výstup 3","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 1","Výstup 2","Výstup 2","Výstup 2","Výstup 2"
"2024/02/29 9:23:17 AM SEČ","Výstup 3","Výstup 3","Výstup 1","Výstup 1","Výstup 3","Výstup 3","Výstup 3","Výstup 3","Výstup 2","Výstup 1","Výstup 1","Výstup 1","Výstup 3","Výstup 3"
"2024/02/29 9:23:25 AM SEČ","Výstup 3","Výstup 3","Výstup 3","Výstup 1","Výstup 3","Výstup 2","Výstup 3","Výstup 1","Výstup 1","Výstup 1","Výstup 2","Výstup 1","Výstup 2","Výstup 2"
"2024/02/29 9:23:28 AM SEČ","Výstup 3","Výstup 3","Výstup 2","Výstup 1","Výstup 1","Výstup 2","Výstup 3","Výstup 1","Výstup 2","Výstup 1","Výstup 2","Výstup 2","Výstup 2","Výstup 2"
"2024/02/29 9:24:08 AM SEČ","Výstup 3","Výstup 3","Výstup 3","Výstup 2","Výstup 3","Výstup 1","Výstup 3","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1"
"2024/02/29 9:24:12 AM SEČ","Výstup 2","Výstup 3","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1","Výstup 1"
"2024/02/29 9:24:52 AM SEČ","Výstup 3","Výstup 3","Výstup 3","Výstup 1","Výstup 1","Výstup 1","Výstup 3","Výstup 1","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 2","Výstup 1"